Invoice ID,Branch,Region,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Month,Payment,cogs,gross margin percentage,gross income,Rating
299-46-1805,B,West,Mumbai,Member,Male,Sports and travel,93.72,6,28.12,590.44,28-02-2019,4.19.00 PM,February,Cash,562.32,4.76,26.77,4.5
656-95-9349,A,North,Delhi,Member,Male,Health and beauty,68.93,7,24.13,506.64,27-03-2019,11.03.00 AM,March,Credit card,482.51,4.76,22.97,4.6
765-26-6951,A,North,Delhi,Normal,Female,Sports and travel,72.61,6,21.78,457.44,20-01-2019,10.39.00 AM,January,Credit card,435.66,4.76,20.74,6.9
329-62-1586,A,North,Delhi,Normal,Female,Food and beverages,54.67,3,8.2,172.21,15-02-2019,6.00.00 PM,February,Credit card,164.01,4.76,7.81,8.6
319-50-3348,B,West,Mumbai,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,14-02-2019,3.30.00 PM,February,Ewallet,80.6,4.76,3.84,4.4
300-71-4605,C,South,Banglore,Member,Female,Electronic accessories,86.04,5,21.51,451.71,13-01-2019,11.24.00 AM,January,Ewallet,430.2,4.76,20.48,4.8
371-85-5789,B,West,Mumbai,Normal,Female,Health and beauty,87.98,3,13.2,277.14,22-01-2019,10.40.00 AM,January,Ewallet,263.94,4.76,12.56,5.1
273-16-6619,B,West,Mumbai,Normal,Female,Home and lifestyle,33.2,2,3.32,69.72,26-01-2019,12.20.00 PM,January,Credit card,66.4,4.76,3.16,4.4
636-48-8204,A,North,Delhi,Normal,Female,Electronic accessories,34.56,5,8.64,181.44,27-03-2019,11.15.00 AM,March,Ewallet,172.8,4.76,8.23,9.9
549-59-1358,A,North,Delhi,Member,Female,Sports and travel,88.63,3,13.29,279.18,23-01-2019,5.36.00 PM,January,Ewallet,265.89,4.76,12.66,6
227-03-5010,A,North,Delhi,Member,Male,Home and lifestyle,52.59,8,21.04,441.76,23-03-2019,7.20.00 PM,March,Credit card,420.72,4.76,20.03,8.5
649-29-6775,B,West,Mumbai,Normal,Female,Fashion accessories,33.52,1,1.68,35.2,19-03-2019,3.31.00 PM,March,Cash,33.52,4.76,1.6,6.7
189-17-4241,A,North,Delhi,Normal,Male,Fashion accessories,87.67,2,8.77,184.11,22-03-2019,12.17.00 PM,March,Credit card,175.34,4.76,8.35,7.7
145-94-9061,B,West,Mumbai,Normal,Male,Food and beverages,88.36,5,22.09,463.89,15-02-2019,7.48.00 PM,February,Cash,441.8,4.76,21.03,9.6
848-62-7243,A,North,Delhi,Normal,Female,Health and beauty,24.89,9,11.2,235.21,19-01-2019,3.36.00 PM,January,Cash,224.01,4.76,10.66,7.4
871-79-8483,B,West,Mumbai,Normal,Female,Fashion accessories,94.13,5,23.53,494.18,20-01-2019,7.39.00 PM,January,Credit card,470.65,4.76,22.4,4.8
149-71-6266,B,West,Mumbai,Member,Female,Sports and travel,78.07,9,35.13,737.76,13-03-2019,12.43.00 PM,March,Cash,702.63,4.76,33.45,4.5
640-49-2076,B,West,Mumbai,Normal,Female,Sports and travel,83.78,8,33.51,703.75,27-01-2019,2.49.00 PM,January,Cash,670.24,4.76,31.9,5.1
595-11-5460,A,North,Delhi,Normal,Female,Health and beauty,96.58,2,9.66,202.82,18-02-2019,10.12.00 AM,February,Credit card,193.16,4.76,9.19,5.1
183-56-6882,C,South,Banglore,Member,Male,Food and beverages,99.42,4,19.88,417.56,18-01-2019,10.42.00 AM,January,Ewallet,397.68,4.76,18.93,7.5
232-16-2483,C,South,Banglore,Member,Male,Sports and travel,68.12,1,3.41,71.53,16-03-2019,12.28.00 PM,March,Ewallet,68.12,4.76,3.24,6.8
129-29-8530,A,North,Delhi,Member,Female,Sports and travel,62.62,5,15.66,328.76,27-03-2019,7.15.00 PM,March,Ewallet,313.1,4.76,14.9,7
272-65-1806,A,North,Delhi,Normal,Male,Electronic accessories,60.88,9,27.4,575.32,23-03-2019,5.17.00 PM,March,Ewallet,547.92,4.76,26.08,4.7
333-73-7901,C,South,Banglore,Normal,Male,Health and beauty,54.92,8,21.97,461.33,30-03-2019,1.24.00 PM,March,Ewallet,439.36,4.76,20.91,7.6
777-82-7220,B,West,Mumbai,Member,Female,Home and lifestyle,30.12,8,12.05,253.01,27-03-2019,1.01.00 PM,March,Cash,240.96,4.76,11.47,7.7
280-35-5823,B,West,Mumbai,Member,Male,Home and lifestyle,86.72,1,4.34,91.06,19-01-2019,6.45.00 PM,January,Ewallet,86.72,4.76,4.13,7.9
554-53-8700,C,South,Banglore,Member,Female,Home and lifestyle,56.11,2,5.61,117.83,25-02-2019,10.11.00 AM,February,Cash,112.22,4.76,5.34,6.3
354-25-5821,B,West,Mumbai,Member,Male,Sports and travel,69.12,6,20.74,435.46,13-03-2019,1.03.00 PM,March,Cash,414.72,4.76,19.74,5.6
228-96-1411,C,South,Banglore,Member,Male,Food and beverages,98.7,8,39.48,829.08,25-02-2019,8.39.00 PM,February,Cash,789.6,4.76,37.58,7.6
617-15-4209,C,South,Banglore,Member,Female,Health and beauty,15.37,2,1.54,32.28,16-01-2019,7.47.00 PM,January,Cash,30.74,4.76,1.46,7.2
132-32-9879,B,West,Mumbai,Member,Male,Electronic accessories,93.96,4,18.79,394.63,26-01-2019,6.00.00 PM,January,Cash,375.84,4.76,17.89,9.5
370-41-7321,B,West,Mumbai,Member,Female,Health and beauty,56.69,9,25.51,535.72,19-01-2019,5.24.00 PM,January,Credit card,510.21,4.76,24.29,8.4
727-46-3608,B,West,Mumbai,Member,Male,Food and beverages,20.01,9,9,189.09,18-01-2019,3.47.00 PM,January,Ewallet,180.09,4.76,8.57,4.1
669-54-1719,B,West,Mumbai,Member,Female,Electronic accessories,18.93,6,5.68,119.26,23-01-2019,12.45.00 PM,January,Credit card,113.58,4.76,5.41,8.1
574-22-5561,C,South,Banglore,Member,Male,Fashion accessories,82.63,10,41.32,867.62,25-01-2019,5.08.00 PM,January,Ewallet,826.3,4.76,39.33,7.9
326-78-5178,C,South,Banglore,Member,Female,Food and beverages,91.4,7,31.99,671.79,15-01-2019,10.19.00 AM,January,Cash,639.8,4.76,30.45,9.5
162-48-8011,A,North,Delhi,Member,Male,Food and beverages,44.59,5,11.15,234.1,19-03-2019,3.10.00 PM,March,Cash,222.95,4.76,10.61,8.5
616-24-2851,B,West,Mumbai,Member,Male,Fashion accessories,17.87,4,3.57,75.05,13-01-2019,2.42.00 PM,January,Ewallet,71.48,4.76,3.4,6.5
778-71-5554,C,South,Banglore,Member,Female,Fashion accessories,15.43,1,0.77,16.2,17-02-2019,3.46.00 PM,February,Credit card,15.43,4.76,0.73,6.1
242-55-6721,B,West,Mumbai,Normal,Female,Home and lifestyle,16.16,2,1.62,33.94,29-01-2019,11.49.00 AM,January,Ewallet,32.32,4.76,1.54,6.5
399-46-5918,C,South,Banglore,Normal,Male,Electronic accessories,85.98,8,34.39,722.23,18-03-2019,7.01.00 PM,March,Cash,687.84,4.76,32.74,8.2
106-35-6779,A,North,Delhi,Member,Female,Home and lifestyle,44.34,2,4.43,93.11,28-03-2019,11.26.00 AM,March,Cash,88.68,4.76,4.22,5.8
635-40-6220,A,North,Delhi,Normal,Female,Health and beauty,89.6,8,35.84,752.64,22-03-2019,11.28.00 AM,March,Ewallet,716.8,4.76,34.12,6.6
817-48-8732,A,North,Delhi,Member,Male,Home and lifestyle,72.35,10,36.18,759.68,21-02-2019,3.55.00 PM,February,Cash,723.5,4.76,34.44,5.4
120-06-4233,C,South,Banglore,Normal,Female,Electronic accessories,30.61,6,9.18,192.84,31-01-2019,8.36.00 PM,January,Cash,183.66,4.76,8.74,9.3
285-68-5083,C,South,Banglore,Member,Male,Sports and travel,24.74,3,3.71,77.93,20-03-2019,5.47.00 PM,March,Credit card,74.22,4.76,3.53,10
803-83-5989,C,South,Banglore,Normal,Female,Home and lifestyle,55.73,6,16.72,351.1,26-02-2019,10.55.00 AM,February,Ewallet,334.38,4.76,15.92,7
347-34-2234,B,West,Mumbai,Member,Male,Sports and travel,55.07,9,24.78,520.41,28-01-2019,1.40.00 PM,January,Ewallet,495.63,4.76,23.59,10
199-75-8169,A,North,Delhi,Member,Female,Sports and travel,15.81,10,7.91,166.01,14-01-2019,12.27.00 PM,January,Credit card,158.1,4.76,7.53,8.6
853-23-2453,B,West,Mumbai,Member,Female,Health and beauty,75.74,4,15.15,318.11,16-03-2019,2.35.00 PM,March,Cash,302.96,4.76,14.42,7.6
877-22-3308,A,North,Delhi,Member,Female,Health and beauty,15.87,10,7.94,166.64,29-01-2019,4.40.00 PM,January,Cash,158.7,4.76,7.55,5.8
838-78-4295,C,South,Banglore,Normal,Male,Health and beauty,33.47,2,3.35,70.29,31-01-2019,3.43.00 PM,January,Ewallet,66.94,4.76,3.19,6.7
109-28-2512,B,West,Mumbai,Member,Male,Fashion accessories,97.61,6,29.28,614.94,13-02-2019,3.01.00 PM,February,Ewallet,585.66,4.76,27.88,9.9
232-11-3025,A,North,Delhi,Normal,Female,Sports and travel,78.77,10,39.39,827.09,19-03-2019,10.04.00 AM,March,Cash,787.7,4.76,37.49,6.4
382-03-4532,A,North,Delhi,Member,Male,Health and beauty,18.33,1,0.92,19.25,13-03-2019,6.50.00 PM,March,Cash,18.33,4.76,0.87,4.3
393-65-2792,C,South,Banglore,Normal,Female,Food and beverages,89.48,10,44.74,939.54,26-02-2019,12.46.00 PM,February,Credit card,894.8,4.76,42.59,9.6
796-12-2025,C,South,Banglore,Normal,Female,Fashion accessories,62.12,10,31.06,652.26,27-01-2019,4.19.00 PM,January,Cash,621.2,4.76,29.57,5.9
510-95-6347,B,West,Mumbai,Member,Male,Food and beverages,48.52,3,7.28,152.84,26-02-2019,6.17.00 PM,February,Ewallet,145.56,4.76,6.93,4
841-35-6630,C,South,Banglore,Normal,Male,Electronic accessories,75.91,6,22.77,478.23,15-02-2019,6.21.00 PM,February,Cash,455.46,4.76,21.68,8.7
287-21-9091,A,North,Delhi,Normal,Female,Home and lifestyle,74.67,9,33.6,705.63,24-03-2019,10.55.00 AM,March,Ewallet,672.03,4.76,31.99,9.4
732-94-0499,C,South,Banglore,Normal,Male,Electronic accessories,41.65,10,20.83,437.33,31-01-2019,5.04.00 PM,January,Credit card,416.5,4.76,19.83,5.4
263-10-3913,C,South,Banglore,Member,Female,Fashion accessories,49.04,9,22.07,463.43,24-01-2019,2.20.00 PM,January,Credit card,441.36,4.76,21.01,8.6
381-20-0914,A,North,Delhi,Member,Male,Fashion accessories,20.01,9,9,189.09,18-02-2019,3.48.00 PM,February,Credit card,180.09,4.76,8.57,5.7
829-49-1914,C,South,Banglore,Member,Male,Food and beverages,78.31,10,39.16,822.26,21-01-2019,4.24.00 PM,January,Ewallet,783.1,4.76,37.28,6.6
756-01-7507,C,South,Banglore,Normal,Male,Health and beauty,20.38,5,5.1,107,25-01-2019,6.56.00 PM,January,Cash,101.9,4.76,4.85,6
870-72-4431,C,South,Banglore,Normal,Male,Health and beauty,99.19,6,29.76,624.9,19-01-2019,2.42.00 PM,January,Credit card,595.14,4.76,28.33,5.5
847-38-7188,B,West,Mumbai,Normal,Male,Food and beverages,96.68,3,14.5,304.54,25-02-2019,7.56.00 PM,February,Ewallet,290.04,4.76,13.81,6.4
480-63-2856,C,South,Banglore,Normal,Female,Food and beverages,19.25,8,7.7,161.7,18-03-2019,6.37.00 PM,March,Ewallet,154,4.76,7.33,6.6
787-56-0757,C,South,Banglore,Member,Male,Food and beverages,80.36,4,16.07,337.51,23-02-2019,6.45.00 PM,February,Credit card,321.44,4.76,15.3,8.3
360-39-5055,C,South,Banglore,Member,Female,Sports and travel,48.91,5,12.23,256.78,26-03-2019,10.17.00 AM,March,Cash,244.55,4.76,11.64,6.6
730-50-9884,C,South,Banglore,Normal,Male,Sports and travel,83.06,7,29.07,610.49,30-03-2019,2.31.00 PM,March,Ewallet,581.42,4.76,27.68,4
362-58-8315,C,South,Banglore,Normal,Female,Fashion accessories,76.52,5,19.13,401.73,17-02-2019,10.23.00 AM,February,Cash,382.6,4.76,18.21,9.9
633-44-8566,A,North,Delhi,Member,Female,Food and beverages,49.38,7,17.28,362.94,21-03-2019,8.35.00 PM,March,Credit card,345.66,4.76,16.45,7.3
504-35-8843,A,North,Delhi,Normal,Female,Sports and travel,42.47,1,2.12,44.59,14-02-2019,4.57.00 PM,February,Cash,42.47,4.76,2.02,5.7
318-68-5053,B,West,Mumbai,Normal,Male,Health and beauty,76.99,6,23.1,485.04,18-01-2019,5.55.00 PM,January,Cash,461.94,4.76,21.99,6.1
565-80-5980,C,South,Banglore,Member,Male,Home and lifestyle,47.38,4,9.48,199,17-01-2019,10.25.00 AM,January,Cash,189.52,4.76,9.02,7.1
225-32-0908,C,South,Banglore,Normal,Male,Sports and travel,44.86,10,22.43,471.03,25-01-2019,7.54.00 PM,January,Ewallet,448.6,4.76,21.35,8.2
873-51-0671,A,North,Delhi,Member,Male,Sports and travel,21.98,7,7.69,161.55,25-03-2019,4.42.00 PM,March,Ewallet,153.86,4.76,7.32,5.1
152-08-9985,B,West,Mumbai,Member,Female,Health and beauty,64.36,9,28.96,608.2,14-03-2019,12.09.00 PM,March,Credit card,579.24,4.76,27.57,8.6
512-91-0811,C,South,Banglore,Normal,Female,Health and beauty,89.75,1,4.49,94.24,24-03-2019,8.05.00 PM,March,Credit card,89.75,4.76,4.27,6.6
594-34-4444,A,North,Delhi,Normal,Female,Electronic accessories,97.16,1,4.86,102.02,21-03-2019,8.38.00 PM,March,Ewallet,97.16,4.76,4.62,7.2
766-85-7061,B,West,Mumbai,Normal,Female,Health and beauty,87.87,10,43.94,922.64,24-02-2019,10.25.00 AM,February,Ewallet,878.7,4.76,41.83,5.1
871-39-9221,C,South,Banglore,Normal,Male,Electronic accessories,12.45,6,3.74,78.44,28-03-2019,1.11.00 PM,March,Cash,74.7,4.76,3.56,4.1
865-92-6136,A,North,Delhi,Normal,Female,Food and beverages,52.75,3,7.91,166.16,15-02-2019,10.16.00 AM,February,Ewallet,158.25,4.76,7.53,9.3
733-01-9107,B,West,Mumbai,Normal,Female,Home and lifestyle,82.7,6,24.81,521.01,27-02-2019,6.14.00 PM,February,Cash,496.2,4.76,23.62,7.4
163-56-7055,C,South,Banglore,Member,Female,Fashion accessories,48.71,1,2.44,51.15,26-01-2019,7.20.00 PM,January,Cash,48.71,4.76,2.32,4.1
189-98-2939,C,South,Banglore,Normal,Female,Fashion accessories,78.55,9,35.35,742.3,14-03-2019,1.22.00 PM,March,Cash,706.95,4.76,33.65,7.2
551-21-3069,C,South,Banglore,Normal,Male,Electronic accessories,23.07,9,10.38,218.01,16-03-2019,11.27.00 AM,March,Cash,207.63,4.76,9.88,4.9
212-62-1842,A,North,Delhi,Normal,Female,Food and beverages,58.26,6,17.48,367.04,17-02-2019,4.44.00 PM,February,Cash,349.56,4.76,16.64,9.9
716-39-1409,B,West,Mumbai,Normal,Female,Health and beauty,30.35,7,10.62,223.07,27-02-2019,6.19.00 PM,February,Cash,212.45,4.76,10.11,8
704-48-3927,A,North,Delhi,Member,Female,Electronic accessories,88.67,10,44.34,931.04,21-01-2019,2.50.00 PM,January,Ewallet,886.7,4.76,42.21,7.3
628-34-3388,C,South,Banglore,Normal,Female,Fashion accessories,27.38,6,8.21,172.49,19-02-2019,8.54.00 PM,February,Credit card,164.28,4.76,7.82,7.9
630-74-5166,A,North,Delhi,Normal,Female,Sports and travel,62.13,6,18.64,391.42,24-03-2019,8.19.00 PM,March,Cash,372.78,4.76,17.74,7.4
588-01-7461,C,South,Banglore,Normal,Male,Food and beverages,33.98,9,15.29,321.11,27-01-2019,10.43.00 AM,January,Cash,305.82,4.76,14.56,4.2
861-77-0145,C,South,Banglore,Member,Female,Electronic accessories,81.97,10,40.99,860.69,25-01-2019,2.30.00 PM,January,Cash,819.7,4.76,39.02,9.2
479-26-8945,B,West,Mumbai,Member,Male,Sports and travel,16.49,2,1.65,34.63,14-03-2019,11.32.00 AM,March,Ewallet,32.98,4.76,1.57,4.6
210-67-5886,C,South,Banglore,Member,Male,Health and beauty,98.21,3,14.73,309.36,14-01-2019,10.41.00 AM,January,Credit card,294.63,4.76,14.02,7.8
227-78-1148,B,West,Mumbai,Normal,Male,Fashion accessories,72.84,7,25.49,535.37,19-03-2019,12.44.00 PM,March,Cash,509.88,4.76,24.27,8.4
645-44-1170,A,North,Delhi,Member,Female,Home and lifestyle,58.07,9,26.13,548.76,14-01-2019,8.07.00 PM,January,Ewallet,522.63,4.76,24.88,4.3
237-01-6122,C,South,Banglore,Member,Male,Home and lifestyle,80.79,9,36.36,763.47,20-02-2019,8.31.00 PM,February,Credit card,727.11,4.76,34.61,9.5
225-98-1496,C,South,Banglore,Normal,Male,Fashion accessories,27.02,3,4.05,85.11,27-01-2019,1.01.00 PM,January,Credit card,81.06,4.76,3.86,7.1
291-32-1427,B,West,Mumbai,Member,Female,Fashion accessories,21.94,5,5.49,115.19,15-02-2019,12.29.00 PM,February,Ewallet,109.7,4.76,5.22,5.3
659-65-8956,B,West,Mumbai,Member,Female,Fashion accessories,51.36,1,2.57,53.93,24-01-2019,3.26.00 PM,January,Ewallet,51.36,4.76,2.44,5.2
642-32-2990,A,North,Delhi,Normal,Male,Food and beverages,10.96,10,5.48,115.08,13-03-2019,8.48.00 PM,March,Ewallet,109.6,4.76,5.22,6
378-24-2715,B,West,Mumbai,Normal,Female,Home and lifestyle,53.44,2,5.34,112.22,15-03-2019,8.38.00 PM,March,Ewallet,106.88,4.76,5.09,4.1
638-60-7125,A,North,Delhi,Normal,Male,Electronic accessories,99.56,8,39.82,836.3,16-02-2019,5.03.00 PM,February,Credit card,796.48,4.76,37.91,5.2
659-36-1684,C,South,Banglore,Member,Female,Sports and travel,57.12,7,19.99,419.83,28-01-2019,12.02.00 PM,January,Credit card,399.84,4.76,19.03,6.5
219-22-9386,B,West,Mumbai,Member,Female,Sports and travel,99.96,9,44.98,944.62,25-01-2019,5.26.00 PM,January,Credit card,899.64,4.76,42.82,4.2
336-78-2147,C,South,Banglore,Member,Female,Home and lifestyle,63.91,8,25.56,536.84,22-03-2019,7.52.00 PM,March,Credit card,511.28,4.76,24.34,4.6
268-27-6179,B,West,Mumbai,Member,Male,Fashion accessories,56.47,8,22.59,474.35,22-01-2019,2.57.00 PM,January,Ewallet,451.76,4.76,21.5,7.3
668-90-8900,A,North,Delhi,Normal,Male,Home and lifestyle,93.69,7,32.79,688.62,28-03-2019,6.44.00 PM,March,Credit card,655.83,4.76,31.22,4.5
870-54-3162,A,North,Delhi,Normal,Male,Sports and travel,32.25,5,8.06,169.31,23-01-2019,1.26.00 PM,January,Cash,161.25,4.76,7.68,9
189-08-9157,C,South,Banglore,Normal,Male,Fashion accessories,31.73,9,14.28,299.85,21-01-2019,4.17.00 PM,January,Credit card,285.57,4.76,13.59,5.9
663-86-9076,C,South,Banglore,Member,Male,Food and beverages,68.54,8,27.42,575.74,31-01-2019,3.57.00 PM,January,Ewallet,548.32,4.76,26.1,8.5
549-84-7482,B,West,Mumbai,Normal,Male,Sports and travel,90.28,9,40.63,853.15,22-02-2019,11.15.00 AM,February,Ewallet,812.52,4.76,38.68,7.2
191-10-6171,B,West,Mumbai,Normal,Male,Fashion accessories,39.62,7,13.87,291.21,19-03-2019,1.18.00 PM,March,Cash,277.34,4.76,13.2,7.5
802-70-5316,A,North,Delhi,Member,Male,Sports and travel,92.13,6,27.64,580.42,28-01-2019,8.34.00 PM,January,Cash,552.78,4.76,26.31,8.3
695-51-0018,B,West,Mumbai,Normal,Male,Sports and travel,34.84,4,6.97,146.33,13-02-2019,6.36.00 PM,February,Cash,139.36,4.76,6.63,7.4
590-83-4591,B,West,Mumbai,Member,Female,Electronic accessories,87.45,6,26.24,550.94,27-01-2019,2.40.00 PM,January,Credit card,524.7,4.76,24.98,8.8
483-71-1164,C,South,Banglore,Normal,Male,Health and beauty,81.3,6,24.39,512.19,17-03-2019,4.43.00 PM,March,Ewallet,487.8,4.76,23.22,5.3
597-78-7908,C,South,Banglore,Normal,Female,Fashion accessories,90.22,3,13.53,284.19,22-03-2019,7.39.00 PM,March,Cash,270.66,4.76,12.88,6.2
700-81-1757,A,North,Delhi,Normal,Male,Electronic accessories,26.31,5,6.58,138.13,23-01-2019,8.59.00 PM,January,Credit card,131.55,4.76,6.26,8.8
354-39-5160,A,North,Delhi,Member,Male,Home and lifestyle,34.42,6,10.33,216.85,25-01-2019,3.39.00 PM,January,Cash,206.52,4.76,9.83,9.8
241-72-9525,B,West,Mumbai,Normal,Female,Sports and travel,51.91,10,25.96,545.06,30-03-2019,12.21.00 PM,March,Cash,519.1,4.76,24.71,8.2
575-30-8091,A,North,Delhi,Normal,Female,Sports and travel,72.5,8,29,609,18-03-2019,7.25.00 PM,March,Ewallet,580,4.76,27.61,9.2
731-81-9469,C,South,Banglore,Member,Male,Sports and travel,89.8,10,44.9,942.9,29-01-2019,1.00.00 PM,January,Credit card,898,4.76,42.74,5.4
280-17-4359,C,South,Banglore,Member,Female,Health and beauty,90.5,10,45.25,950.25,21-03-2019,1.48.00 PM,March,Cash,905,4.76,43.08,8.1
338-65-2210,C,South,Banglore,Member,Male,Health and beauty,68.6,10,34.3,720.3,23-03-2019,7.57.00 PM,March,Cash,686,4.76,32.65,9.1
488-25-4221,C,South,Banglore,Member,Male,Food and beverages,30.41,1,1.52,31.93,21-01-2019,10.36.00 AM,January,Credit card,30.41,4.76,1.45,8.4
239-10-7476,A,North,Delhi,Normal,Male,Home and lifestyle,77.95,6,23.39,491.09,27-01-2019,4.37.00 PM,January,Ewallet,467.7,4.76,22.26,8
458-41-1477,C,South,Banglore,Normal,Male,Health and beauty,46.26,6,13.88,291.44,29-01-2019,5.11.00 PM,January,Credit card,277.56,4.76,13.21,9.5
685-64-1609,A,North,Delhi,Member,Male,Fashion accessories,30.14,10,15.07,316.47,29-03-2019,12.28.00 PM,March,Ewallet,301.4,4.76,14.35,9.2
568-90-5112,C,South,Banglore,Normal,Female,Health and beauty,66.14,4,13.23,277.79,16-01-2019,12.46.00 PM,January,Credit card,264.56,4.76,12.59,5.6
262-47-2794,B,West,Mumbai,Member,Female,Home and lifestyle,71.86,8,28.74,603.62,29-03-2019,3.07.00 PM,March,Credit card,574.88,4.76,27.36,6.2
238-49-0436,A,North,Delhi,Normal,Female,Health and beauty,32.46,8,12.98,272.66,22-01-2019,1.48.00 PM,January,Credit card,259.68,4.76,12.36,4.9
608-96-3517,B,West,Mumbai,Member,Male,Fashion accessories,91.54,4,18.31,384.47,17-01-2019,7.20.00 PM,January,Credit card,366.16,4.76,17.43,4.8
584-86-7256,C,South,Banglore,Member,Female,Sports and travel,34.56,7,12.1,254.02,26-03-2019,4.07.00 PM,March,Credit card,241.92,4.76,11.52,7.3
746-94-0204,A,North,Delhi,Normal,Female,Fashion accessories,83.24,9,37.46,786.62,27-01-2019,11.56.00 AM,January,Credit card,749.16,4.76,35.66,7.4
214-17-6927,C,South,Banglore,Normal,Male,Food and beverages,16.48,6,4.94,103.82,25-02-2019,6.23.00 PM,February,Ewallet,98.88,4.76,4.71,9.9
400-89-4171,C,South,Banglore,Normal,Male,Sports and travel,80.97,8,32.39,680.15,16-01-2019,1.05.00 PM,January,Cash,647.76,4.76,30.83,9.3
782-95-9291,A,North,Delhi,Member,Female,Food and beverages,92.29,5,23.07,484.52,13-01-2019,3.55.00 PM,January,Credit card,461.45,4.76,21.97,9
279-74-2924,B,West,Mumbai,Member,Female,Electronic accessories,72.17,1,3.61,75.78,17-02-2019,7.40.00 PM,February,Cash,72.17,4.76,3.44,6.1
307-85-2293,B,West,Mumbai,Normal,Female,Home and lifestyle,50.28,5,12.57,263.97,26-03-2019,1.58.00 PM,March,Ewallet,251.4,4.76,11.97,9.7
743-04-1105,B,West,Mumbai,Member,Female,Health and beauty,97.22,9,43.75,918.73,22-01-2019,2.43.00 PM,January,Ewallet,874.98,4.76,41.65,6
423-57-2993,B,West,Mumbai,Normal,Female,Sports and travel,93.39,6,28.02,588.36,13-02-2019,7.18.00 PM,February,Ewallet,560.34,4.76,26.67,10
894-41-5205,C,South,Banglore,Normal,Male,Food and beverages,43.18,8,17.27,362.71,26-01-2019,7.39.00 PM,January,Credit card,345.44,4.76,16.44,8.3
275-28-0149,A,North,Delhi,Normal,Female,Sports and travel,63.69,1,3.18,66.87,23-01-2019,4.21.00 PM,January,Cash,63.69,4.76,3.03,6
101-17-6199,A,North,Delhi,Normal,Female,Food and beverages,45.79,7,16.03,336.56,22-02-2019,7.44.00 PM,February,Credit card,320.53,4.76,15.26,7
423-80-0988,C,South,Banglore,Normal,Female,Sports and travel,76.4,2,7.64,160.44,25-03-2019,7.42.00 PM,March,Ewallet,152.8,4.76,7.27,6.5
548-46-9322,B,West,Mumbai,Normal,Female,Food and beverages,39.9,10,19.95,418.95,20-01-2019,3.24.00 PM,January,Credit card,399,4.76,18.99,5.9
505-02-0892,B,West,Mumbai,Member,Female,Health and beauty,42.57,8,17.03,357.59,30-01-2019,2.12.00 PM,January,Ewallet,340.56,4.76,16.21,5.6
